Gene	sgRNA	921|beta	921|z	921|p-value	921|fdr	921|wald-p-value	921|wald-fdr
C2orf76	5	-0.055775	-0.15372	0.70982	0.93007	0.87783	0.94961
C2orf78	5	-0.060981	-0.36978	0.69416	0.92459	0.71155	0.87287
C2orf80	5	0.024833	0.11998	0.96551	0.99462	0.9045	0.96017
C2orf82	5	0.12386	0.85383	0.70116	0.92654	0.3932	0.69425
C2orf83	5	0.35256	1.3295	0.14617	0.57618	0.18368	0.59478
C2orf88	5	-0.20103	-0.76549	0.35927	0.77987	0.44398	0.72562
C2orf91	5	0.20655	1.0774	0.44885	0.83225	0.28132	0.62986
C3	5	0.20417	0.99031	0.45468	0.83423	0.32202	0.6537
C3AR1	5	0.10918	0.50421	0.74908	0.94329	0.61412	0.82216
C3orf14	5	0.31603	0.98992	0.19993	0.64046	0.32222	0.65375
C3orf17	5	-0.42228	-1.7637	0.093358	0.47647	0.077787	0.59288
C3orf18	5	0.09362	0.6703	0.8049	0.95746	0.50267	0.75887
C3orf20	5	0.32311	1.3644	0.18871	0.62849	0.17243	0.59288
C3orf22	5	-0.0071387	-0.041011	0.86182	0.97116	0.96729	0.98685
C3orf27	5	0.051975	0.20647	0.94524	0.99132	0.83643	0.9329
C3orf30	5	0.12958	0.6256	0.68361	0.92133	0.53157	0.77598
C3orf33	5	0.24867	0.99753	0.33916	0.7676	0.31851	0.65111
C3orf35	6	0.13053	0.49176	0.6404	0.90606	0.62289	0.82663
C3orf36	5	-0.034686	-0.16607	0.77724	0.95247	0.8681	0.94493
C3orf38	5	-0.21336	-0.9879	0.33728	0.76605	0.3232	0.65429
C3orf43	4	-0.072813	-0.378	0.68933	0.92324	0.70543	0.87077
C3orf52	5	0.16747	0.78522	0.56342	0.88376	0.43233	0.71786
C3orf55	7	-0.11744	-0.77369	0.47562	0.84374	0.43911	0.72273
C3orf56	5	0.23512	1.0483	0.37093	0.78523	0.29448	0.63724
C3orf58	5	0.071926	0.32225	0.87626	0.97521	0.74726	0.89255
C3orf62	5	-0.36945	-1.6791	0.13201	0.55176	0.093135	0.59288
C3orf67	5	0.36844	1.2857	0.12424	0.54021	0.19856	0.59478
C3orf70	5	0.28421	1.0255	0.25852	0.70336	0.30511	0.64274
C3orf72	5	0.020221	0.13928	0.95068	0.99191	0.88923	0.95433
C3orf79	5	-0.13762	-0.87618	0.49234	0.85247	0.38093	0.68614
C3orf80	5	0.47199	1.5919	0.037432	0.3151	0.11141	0.59288
C3orf83	5	0.27238	1.3207	0.28424	0.72674	0.1866	0.59478
C3orf84	5	0.078644	0.36651	0.85494	0.96941	0.71399	0.87414
C4A	3	0.15926	0.47061	0.68449	0.9217	0.63792	0.83653
C4B	3	0.26926	1.3072	0.42447	0.81875	0.19114	0.59478
C4BPA	5	-0.13069	-0.63001	0.50883	0.85931	0.52869	0.77458
C4BPB	5	-0.39572	-1.6331	0.11124	0.51412	0.10244	0.59288
C4orf17	5	0.11936	0.41016	0.71632	0.93302	0.68169	0.85901
C4orf19	5	0.26596	0.82997	0.29757	0.73589	0.40656	0.70234
C4orf21	5	0.20701	0.94446	0.44741	0.8318	0.34494	0.66657
C4orf22	5	0.058085	0.22258	0.92253	0.98588	0.82386	0.92846
C4orf26	5	0.0027115	0.010523	0.89248	0.97875	0.9916	0.9973
C4orf27	4	-0.36609	-1.4302	0.17677	0.61129	0.15266	0.59288
C4orf29	5	0.54975	0.97771	0.013496	0.18216	0.32822	0.6568
C4orf3	8	0.01994	0.2207	0.94685	0.99145	0.82533	0.92867
C4orf32	4	0.0401	0.19925	0.98239	0.99774	0.84207	0.93536
C4orf33	5	0.031605	0.13649	0.98923	0.9991	0.89143	0.95549
C4orf36	5	0.18596	0.54363	0.50877	0.85931	0.58669	0.8088
C4orf40	5	-0.13359	-0.42438	0.50211	0.85697	0.67129	0.8538
C4orf45	5	0.13862	0.69291	0.65378	0.91129	0.48837	0.75092
C4orf46	5	0.17004	0.53703	0.55587	0.881	0.59125	0.81076
C4orf47	5	-0.16762	-1.004	0.42664	0.81924	0.31538	0.64953
C4orf48	6	0.21033	1.6341	0.39254	0.80032	0.10224	0.59288
C4orf51	5	-0.086172	-0.37954	0.62596	0.90125	0.70429	0.87038
C4orf6	4	0.0048078	0.019719	0.90859	0.98247	0.98427	0.99376
C5	5	0.39614	1.4043	0.090859	0.47133	0.16022	0.59288
C5AR1	5	0.22358	0.86574	0.40103	0.80484	0.38663	0.68997
C5AR2	5	0.2214	1.2734	0.40675	0.80803	0.20286	0.59636
C5orf15	5	-0.078894	-0.24007	0.64623	0.90807	0.81027	0.92189
C5orf20	5	-0.16443	-0.85414	0.43424	0.82383	0.39303	0.69425
C5orf22	5	0.13887	0.60504	0.65317	0.91097	0.54516	0.78411
C5orf24	5	0.02889	0.14732	0.97945	0.99695	0.88288	0.95181
C5orf28	5	-0.10381	-0.45893	0.57842	0.88768	0.64628	0.84058
C5orf30	5	0.13287	0.54186	0.67178	0.91801	0.58792	0.80926
C5orf34	5	-0.17851	-0.8856	0.40398	0.80652	0.37583	0.68225
C5orf38	5	0.43689	1.5388	0.057925	0.3902	0.12385	0.59288
C5orf42	5	-0.19319	-0.93702	0.37465	0.78903	0.34875	0.66875
C5orf45	5	0.34873	1.1996	0.15178	0.58348	0.2303	0.60577
C5orf46	4	0.16407	1.051	0.60596	0.89437	0.29328	0.63685
C5orf47	5	0.26912	1.1768	0.2919	0.73207	0.23926	0.61006
C5orf48	5	-0.3298	-1.2859	0.17105	0.60514	0.19849	0.59478
C5orf49	4	-0.1337	-0.71431	0.5416	0.8733	0.47503	0.74285
C5orf51	5	0.052677	0.22785	0.94285	0.99055	0.81976	0.92694
C5orf52	5	0.088085	0.43272	0.82484	0.9641	0.66522	0.85102
C5orf54	5	-0.0014673	-0.0093535	0.8796	0.9758	0.99254	0.99769
C5orf55	5	0.10205	1.0088	0.77624	0.95179	0.31305	0.64787
C5orf58	5	0.15608	0.44213	0.59808	0.89277	0.65839	0.84692
C5orf60	5	-0.091109	-0.38305	0.6118	0.89649	0.70168	0.86901
C5orf63	5	0.15944	1.0727	0.58858	0.8916	0.28338	0.6312
C5orf64	5	0.040993	0.25663	0.98101	0.99757	0.79746	0.91569
C5orf66	5	0.25562	1.2945	0.32167	0.75143	0.1955	0.59478
C6	5	0.26737	0.92499	0.29485	0.7344	0.35497	0.67222
C6orf1	5	-0.045404	-0.27568	0.74225	0.94173	0.7828	0.9103
C6orf10	5	0.042949	0.20571	0.97479	0.9966	0.83702	0.93315
C6orf106	5	-0.43007	-1.8652	0.087471	0.46326	0.062158	0.59288
C6orf118	5	0.12319	0.55752	0.70332	0.92723	0.57717	0.80337
C6orf120	5	0.11904	0.90958	0.71693	0.9332	0.36304	0.67582
C6orf132	5	-0.093219	-0.67892	0.60519	0.89437	0.49719	0.75617
C6orf136	12	-0.075488	-0.52079	0.50539	0.85865	0.60251	0.81638
C6orf141	5	0.10518	0.58818	0.76486	0.94955	0.55641	0.79124
C6orf15	5	-0.14598	-0.71921	0.47373	0.84332	0.47201	0.74114
C6orf163	5	0.087842	0.46128	0.82561	0.9647	0.64459	0.83996
C6orf165	5	0.18662	1.2041	0.50672	0.85931	0.22855	0.60487
C6orf195	5	0.20254	1.2211	0.45912	0.83759	0.22205	0.60194
C6orf201	5	0.23294	0.94099	0.3771	0.79009	0.34671	0.66752
C6orf203	5	0.077823	0.32913	0.85744	0.97018	0.74206	0.88956
C6orf211	4	-0.080944	-0.1779	0.66767	0.91589	0.8588	0.94152
C6orf222	5	0.040636	0.22126	0.98234	0.99774	0.82489	0.92866
C6orf223	7	0.039099	0.27993	0.97107	0.99607	0.77953	0.90838
C6orf226	5	-0.35841	-1.8572	0.14101	0.56649	0.063285	0.59288
C6orf25	5	-0.26243	-1.5224	0.25819	0.7028	0.12791	0.59288
C6orf47	5	-0.16604	-0.85225	0.43025	0.82179	0.39407	0.69447
C6orf48	4	-0.14243	-0.72145	0.52283	0.86718	0.47064	0.74021
C6orf52	5	0.10619	0.54017	0.76102	0.94937	0.58908	0.81017
C6orf57	5	-0.13484	-0.59916	0.49883	0.85521	0.54907	0.78664
C6orf58	5	-0.1052	-0.60279	0.57475	0.88686	0.54665	0.78479
C6orf62	5	-0.20218	-0.90341	0.35699	0.77708	0.36631	0.67684
C6orf89	5	-0.41008	-1.3436	0.1008	0.49028	0.17907	0.59478
C6orf99	5	0.24052	1.0932	0.35744	0.77758	0.2743	0.62642
C7	5	-0.07915	-0.51608	0.64556	0.90757	0.6058	0.81845
C7orf10	5	0.12553	0.47697	0.69627	0.92498	0.63338	0.83337
C7orf25	5	0.026858	0.17877	0.97284	0.99608	0.85812	0.94139
C7orf26	5	-0.82236	-2.7567	0.0043874	0.092182	0.0058384	0.14848
C7orf31	5	-0.010672	-0.07327	0.85066	0.96871	0.94159	0.97698
C7orf33	5	-0.11753	-0.58189	0.54093	0.8733	0.56064	0.79331
C7orf34	5	-0.30581	-1.9019	0.19871	0.64027	0.057185	0.58856
C7orf43	5	-0.19092	-1.2628	0.37871	0.79116	0.20666	0.59717
C7orf49	7	-0.24009	-1.5591	0.20665	0.64871	0.11897	0.59288
C7orf50	5	0.23876	1.3317	0.36277	0.78173	0.18296	0.59478
C7orf55	5	0.2236	1.4942	0.40087	0.80482	0.13512	0.59288
C7orf55-LUC7L2	2	-0.034907	-0.1173	0.83494	0.96576	0.90662	0.96087
C7orf57	5	0.14429	0.6117	0.63529	0.90523	0.54074	0.78173
C7orf60	5	-0.00039444	-0.0020059	0.88326	0.97724	0.9984	0.9994
C7orf61	5	-0.12307	-0.81374	0.5266	0.86935	0.41579	0.70797
C7orf62	5	0.10709	0.46793	0.75814	0.94779	0.63983	0.83757
C7orf63	5	-0.035567	-0.15413	0.77419	0.95083	0.87751	0.94953
C7orf65	4	0.28293	1.2159	0.3089	0.74154	0.22402	0.60194
C7orf66	5	0.31177	1.2353	0.20665	0.64871	0.21672	0.59985
C7orf69	5	-0.52976	-2.1798	0.041986	0.33289	0.029271	0.40695
C7orf71	5	-0.062725	-0.29023	0.69005	0.92359	0.77164	0.90395
C7orf72	5	-0.096098	-0.52879	0.59791	0.89277	0.59695	0.81426
C8A	5	0.075165	0.37019	0.8656	0.97182	0.71124	0.87262
C8B	5	0.20117	1.1154	0.46351	0.83923	0.26467	0.62328
C8G	5	-0.18403	-1.2771	0.39237	0.8002	0.20158	0.59632
C8orf22	4	-0.20406	-0.81893	0.39898	0.80322	0.41283	0.70616
C8orf31	5	-0.42031	-2.1198	0.094635	0.47879	0.034019	0.43736
C8orf33	5	-0.70065	-2.6521	0.012107	0.17179	0.0079997	0.18477
C8orf34	5	-0.32514	-1.7216	0.17633	0.61053	0.085141	0.59288
C8orf37	5	-0.25214	-1.2336	0.27358	0.71776	0.21734	0.59985
C8orf4	5	-0.34702	-1.7097	0.15228	0.58399	0.08733	0.59288
C8orf44	1	-0.64229	-1.1698	0.28468	0.72678	0.24207	0.61068
C8orf46	5	-0.18154	-1.1768	0.39776	0.80313	0.23927	0.61006
C8orf47	7	-0.33683	-1.5519	0.096246	0.48261	0.12068	0.59288
C8orf48	5	-0.052404	-0.28084	0.71943	0.93378	0.77883	0.90815
C8orf58	5	-0.66633	-2.9798	0.015606	0.19901	0.0028847	0.097636
C8orf59	3	-0.41857	-0.93237	0.1901	0.63041	0.35114	0.66995
C8orf74	5	-0.39886	-1.7225	0.10857	0.50871	0.08498	0.59288
C8orf76	5	-0.40417	-1.6248	0.1048	0.5004	0.10421	0.59288
C8orf82	5	-0.29669	-1.326	0.21043	0.653	0.18483	0.59478
C8orf86	5	-0.2212	-1.5433	0.32261	0.75291	0.12277	0.59288
C8orf87	5	0.0079473	0.040782	0.90903	0.98247	0.96747	0.98685
C8orf88	5	0.00095903	0.003539	0.88743	0.97755	0.99718	0.99891
C9	5	0.13444	0.8437	0.66606	0.91545	0.39883	0.69706
C9orf114	5	-1.0866	-3.3981	0.00027769	0.011655	0.00067848	0.038668
C9orf116	5	-0.19183	-0.94155	0.37715	0.79009	0.34642	0.66752
C9orf117	5	0.066375	0.28967	0.89565	0.97959	0.77207	0.90425
C9orf129	5	-0.10166	-0.4204	0.58486	0.89053	0.67419	0.8552
C9orf131	5	-0.49171	-2.0873	0.056148	0.38412	0.036863	0.45839
C9orf135	5	-0.10072	-0.5105	0.58686	0.8912	0.6097	0.8197
C9orf139	5	-0.23726	-1.265	0.29629	0.73512	0.20589	0.59707
C9orf142	5	-0.19331	-0.98921	0.37426	0.78856	0.32256	0.65387
C9orf152	5	0.30039	1.7957	0.22737	0.67203	0.072541	0.59288
C9orf153	4	-0.030396	-0.086285	0.80706	0.95834	0.93124	0.97239
C9orf156	5	0.056245	0.42223	0.92969	0.98819	0.67286	0.85448
C9orf16	5	-0.28557	-1.0884	0.22537	0.67062	0.27643	0.62656
C9orf163	5	-0.051074	-0.37599	0.72448	0.93551	0.70692	0.87127
C9orf170	5	0.053491	0.2157	0.94024	0.99023	0.82922	0.93022
C9orf171	5	-0.4458	-1.963	0.079529	0.44541	0.049642	0.54784
C9orf172	5	-0.0012203	-0.0073201	0.88004	0.9758	0.99416	0.99803
C9orf173	5	0.0080791	0.051217	0.90975	0.98249	0.95915	0.98357
C9orf24	13	0.050117	0.49499	0.89093	0.97866	0.62061	0.82555
C9orf3	5	0.20288	0.77524	0.45846	0.83749	0.4382	0.72222
C9orf37	5	-0.4593	-1.5839	0.071532	0.42833	0.11321	0.59288
C9orf40	5	0.24211	1.1121	0.35422	0.7765	0.26611	0.62356
C9orf41	5	-0.084175	-0.48451	0.63012	0.90264	0.62803	0.83002
C9orf43	5	0.30493	1.0882	0.21904	0.66225	0.27651	0.6266
C9orf47	5	0.34502	1.4414	0.15723	0.58975	0.14947	0.59288
C9orf50	5	0.25671	1.3343	0.31884	0.74879	0.1821	0.59478
C9orf57	5	0.1408	0.59811	0.64656	0.90808	0.54976	0.78684
C9orf62	5	0.052501	0.25952	0.94346	0.9909	0.79524	0.91495
C9orf64	5	0.36853	1.7378	0.12401	0.53976	0.082242	0.59288
C9orf66	5	-0.13018	-0.79713	0.51027	0.85995	0.42538	0.71336
C9orf69	5	0.019451	0.12528	0.94763	0.99146	0.9003	0.9582
C9orf72	5	0.30673	1.4887	0.21593	0.65887	0.13656	0.59288
C9orf78	5	-0.55986	-2.0917	0.033655	0.29852	0.036463	0.45535
C9orf84	5	0.13203	0.72109	0.67455	0.9189	0.47085	0.74039
C9orf85	5	-0.004982	-0.02075	0.86932	0.97332	0.98345	0.99344
C9orf89	5	0.10162	0.52273	0.7783	0.95249	0.60116	0.81602
C9orf9	5	-0.34378	-1.6291	0.15606	0.58774	0.1033	0.59288
C9orf91	5	0.50926	1.5965	0.022437	0.2425	0.11038	0.59288
C9orf92	5	0.43173	1.754	0.062146	0.40439	0.07943	0.59288
C9orf96	5	-0.40463	-1.7078	0.10469	0.50027	0.087664	0.59288
CA1	5	-0.033822	-0.14118	0.77985	0.9531	0.88773	0.95388
CA10	5	-0.17554	-0.90022	0.4102	0.81107	0.368	0.67774
CA11	5	-0.18797	-1.0101	0.38515	0.79482	0.31244	0.64781
CA12	5	0.12943	1.0488	0.68405	0.92159	0.29429	0.63723
CA13	5	-0.10648	-0.53882	0.57153	0.8859	0.59001	0.81033
CA14	5	0.07081	0.73657	0.87993	0.9758	0.46139	0.73567
CA2	5	0.15567	0.41169	0.59924	0.89277	0.68056	0.8585
CA3	5	-0.066662	-0.34838	0.67944	0.9204	0.72756	0.88107
CA4	4	0.1558	0.60891	0.63051	0.90264	0.54258	0.78287
CA5A	5	-0.47769	-1.6413	0.062257	0.40439	0.10073	0.59288
CA5B	5	0.21321	1.2521	0.43019	0.82177	0.21052	0.59847
CA6	5	0.32567	1.5928	0.18449	0.62268	0.11122	0.59288
CA7	5	0.24649	1.4158	0.34422	0.77108	0.15683	0.59288
CA8	5	-0.28074	-1.6724	0.23198	0.67731	0.094445	0.59288
CA9	5	-0.19896	-0.91585	0.36321	0.78173	0.35975	0.67438
CAAP1	5	-0.23457	-0.97106	0.30112	0.73642	0.33152	0.65927
CAB39	5	0.14855	0.60503	0.62107	0.89979	0.54516	0.78411
CAB39L	4	0.060252	0.22562	0.92258	0.98588	0.8215	0.92727
CABIN1	5	-0.094363	-0.62032	0.60252	0.89435	0.53505	0.77755
CABLES1	5	-0.087292	-0.54008	0.62296	0.9001	0.58914	0.81017
CABLES2	5	0.10163	0.70367	0.77824	0.95249	0.48164	0.74627
CABP1	9	0.065797	0.53207	0.84128	0.96743	0.59468	0.81249
CABP2	5	-0.19556	-1.4509	0.36993	0.78457	0.1468	0.59288
CABP4	4	0.10134	0.51231	0.79285	0.95383	0.60843	0.81916
CABP5	5	0.093749	0.7914	0.8044	0.9573	0.42871	0.71571
CABP7	5	-0.075189	-0.40791	0.65595	0.91169	0.68334	0.85973
CABS1	5	0.33569	1.5712	0.16989	0.60415	0.11614	0.59288
CABYR	7	0.24323	1.2423	0.26213	0.70705	0.21411	0.59911
CACFD1	5	0.38774	1.3888	0.099745	0.48808	0.16488	0.59288
CACHD1	5	0.48741	1.6792	0.031101	0.28542	0.093109	0.59288
CACNA1A	5	0.60654	1.5139	0.0054426	0.10687	0.13004	0.59288
CACNA1B	5	0.0040004	0.020402	0.89698	0.97992	0.98372	0.99354
CACNA1C	5	-0.16391	-1.0356	0.43552	0.82478	0.30041	0.64097
CACNA1D	5	0.42767	1.5381	0.064867	0.41156	0.12403	0.59288
CACNA1E	5	0.45435	1.4766	0.04704	0.35306	0.13979	0.59288
CACNA1F	4	0.10219	0.52735	0.79068	0.95346	0.59795	0.81458
CACNA1G	5	0.16836	0.58628	0.56137	0.88302	0.55769	0.792
CACNA1H	5	0.27112	1.3245	0.28707	0.72844	0.18534	0.59478
CACNA1I	5	0.30228	1.2315	0.22431	0.67015	0.21814	0.59987
CACNA1S	5	0.31496	1.3741	0.20138	0.64279	0.16941	0.59288
CACNA2D1	5	-0.26393	-1.3409	0.25619	0.70111	0.17996	0.59478
CACNA2D2	5	-0.097742	-0.52729	0.59458	0.89233	0.59799	0.81458
CACNA2D3	5	0.25891	1.1898	0.31373	0.74598	0.23412	0.60647
CACNA2D4	5	0.10022	0.52458	0.78341	0.95346	0.59987	0.8149
CACNB1	5	-0.36607	-1.7241	0.13545	0.55596	0.084686	0.59288
CACNB2	5	0.24725	1.2504	0.34255	0.77108	0.21114	0.59847
CACNB3	5	-0.36179	-1.5807	0.13818	0.56061	0.11395	0.59288
CACNB4	5	0.24599	1.2687	0.34505	0.77176	0.20453	0.59679
CACNG1	5	-0.1421	-0.74684	0.48295	0.84726	0.45516	0.73154
CACNG2	5	-0.40139	-1.4545	0.10646	0.50368	0.1458	0.59288
CACNG3	5	-0.39122	-1.9838	0.11513	0.52201	0.047283	0.53278
CACNG4	5	0.032524	0.18014	0.99172	0.99944	0.85704	0.94139
CACNG5	5	0.02522	0.15265	0.96729	0.99554	0.87867	0.94989
CACNG6	5	0.14563	0.41612	0.63085	0.90264	0.67733	0.85724
CACNG7	5	0.050005	0.25175	0.95246	0.99191	0.80123	0.91722
CACNG8	5	-0.060987	-0.4299	0.69416	0.92459	0.66727	0.852
CACTIN	5	-0.78708	-1.9387	0.0061646	0.11672	0.052534	0.56469
CACUL1	5	0.21463	1.0473	0.42652	0.81924	0.29496	0.63746
CACYBP	6	-0.21547	-1.3752	0.29101	0.73202	0.16908	0.59288
CAD	5	-0.43123	-1.6466	0.08686	0.46206	0.099647	0.59288
CADM1	5	0.46911	1.4276	0.038598	0.31866	0.15341	0.59288
CADM2	5	0.13079	0.56235	0.67966	0.92057	0.57388	0.80116
CADM3	4	0.18868	0.59499	0.53988	0.87289	0.55185	0.78837
CADM4	5	-0.031387	-0.12322	0.78646	0.95346	0.90194	0.95875
CADPS	5	0.40256	1.583	0.084472	0.45837	0.11342	0.59288
CADPS2	5	-0.027505	-0.1257	0.7989	0.95588	0.89997	0.9582
CAGE1	5	0.10136	0.31889	0.77963	0.9531	0.74981	0.89378
CALB1	5	-0.016659	-0.078475	0.83244	0.96543	0.93745	0.97537
CALB2	5	0.041409	0.16993	0.97951	0.99695	0.86506	0.94408
CALCA	7	-0.046772	-0.41202	0.7041	0.92764	0.68033	0.85844
CALCB	5	-0.14732	-0.83527	0.47073	0.84097	0.40357	0.7006
CALCOCO1	5	0.069464	0.34763	0.88509	0.9773	0.72812	0.8812
CALCOCO2	5	-0.42017	-1.7573	0.094746	0.47908	0.078873	0.59288
CALCR	5	0.053836	0.34661	0.93908	0.99023	0.72889	0.88181
CALCRL	5	0.47062	1.2196	0.038098	0.31778	0.22263	0.60194
CALD1	5	-0.13241	-0.56295	0.50472	0.85798	0.57347	0.80076
CALHM1	5	0.74277	1.3592	0.00055537	0.021053	0.17408	0.59314
CALHM2	5	0.27778	1.251	0.27196	0.71583	0.21092	0.59847
CALHM3	5	0.24088	1.2613	0.35688	0.77708	0.20719	0.59717
CALM1	5	0.26438	1.0084	0.30134	0.73643	0.31328	0.64791
CALM2	4	0.0093984	0.031414	0.92341	0.98612	0.97494	0.99006
CALM3	5	0.28732	1.4682	0.25264	0.69726	0.14205	0.59288
CALML3	5	0.64	1.6429	0.002999	0.072096	0.1004	0.59288
CALML4	10	0.23804	1.625	0.19627	0.63802	0.10416	0.59288
CALML5	5	0.26042	1.3992	0.30995	0.74236	0.16175	0.59288
CALML6	5	-0.33156	-1.3732	0.16894	0.60333	0.16969	0.59288
CALN1	5	-0.20605	-1.1693	0.34977	0.77355	0.24229	0.61069
CALR	5	-0.032249	-0.14745	0.78391	0.95346	0.88277	0.95176
CALR3	5	-0.27657	-1.6273	0.23675	0.68044	0.10368	0.59288
CALU	8	0.2192	1.6317	0.29901	0.73622	0.10274	0.59288
CALY	5	0.24879	0.95084	0.33894	0.76748	0.34168	0.66478
CAMK1	5	-0.0044117	-0.031984	0.87138	0.97393	0.97448	0.98982
CAMK1D	5	-0.039499	-0.19526	0.76125	0.94937	0.84519	0.93664
CAMK1G	5	0.30002	1.4118	0.22826	0.67311	0.15802	0.59288
CAMK2A	5	0.35615	1.7406	0.14006	0.56481	0.081751	0.59288
CAMK2B	5	-0.055193	-0.2014	0.71143	0.93069	0.84039	0.93461
CAMK2D	5	-0.028984	-0.21048	0.79412	0.95432	0.83329	0.93198
CAMK2G	5	-0.079976	-0.63133	0.64351	0.90677	0.52782	0.77394
CAMK2N1	5	0.10289	0.72457	0.77352	0.95083	0.46872	0.73887
CAMK2N2	5	0.1986	1.5032	0.47079	0.84097	0.13278	0.59288
CAMK4	5	-0.032494	-0.17038	0.78313	0.95346	0.86471	0.94397
CAMKK1	5	0.39731	1.4643	0.089359	0.46692	0.14311	0.59288
CAMKK2	5	0.23323	1.1625	0.37632	0.78998	0.24502	0.61199
CAMKMT	5	-0.19865	-1.6128	0.36405	0.78173	0.10679	0.59288
CAMKV	5	0.31448	1.3729	0.20227	0.64359	0.16979	0.59288
CAMLG	5	0.1327	0.73687	0.67244	0.91801	0.4612	0.73567
CAMP	5	0.34738	1.484	0.15345	0.58526	0.13781	0.59288
CAMSAP1	5	0.020272	0.13307	0.95091	0.99191	0.89414	0.95607
CAMSAP2	5	-0.2062	-0.62909	0.34949	0.77348	0.52929	0.7749
CAMSAP3	5	0.11093	0.69648	0.74392	0.94239	0.48613	0.74935
CAMTA1	9	-0.018485	-0.1102	0.78396	0.95346	0.91225	0.96335
CAMTA2	5	0.12354	0.37556	0.70227	0.92715	0.70724	0.87133
CAND1	5	-0.18603	-1.0367	0.38904	0.79788	0.29987	0.64057
CAND2	5	0.4182	1.6997	0.072476	0.43003	0.089191	0.59288
CANT1	5	-0.067211	-0.41515	0.67772	0.91925	0.67803	0.85754
CANX	4	0.02825	0.12445	0.98117	0.99763	0.90096	0.95832
CAP1	5	0.015314	0.068567	0.93419	0.9893	0.94533	0.97809
CAP2	5	-0.1231	-0.42178	0.52649	0.86925	0.67318	0.85464
CAPG	5	0.0669	0.34146	0.8942	0.9792	0.73276	0.88438
CAPN1	5	-0.02176	-0.12118	0.81556	0.961	0.90355	0.95967
CAPN10	5	0.41567	1.9121	0.073975	0.43416	0.055863	0.58216
CAPN11	5	-0.037586	-0.26725	0.76686	0.94971	0.78928	0.91261
CAPN12	5	0.25476	0.9567	0.32323	0.75291	0.33872	0.66344
CAPN13	5	0.12345	0.72789	0.70271	0.92716	0.46668	0.73766
CAPN14	5	-0.0024444	-0.010999	0.87693	0.97541	0.99122	0.99713
CAPN15	5	0.23226	1.4845	0.37893	0.79116	0.13768	0.59288
CAPN2	5	0.083051	0.56092	0.84122	0.96743	0.57485	0.80176
CAPN3	14	0.27816	2.0483	0.064978	0.41212	0.040526	0.48422
CAPN5	5	0.21828	0.9895	0.41575	0.81272	0.32242	0.65375
CAPN6	5	0.30517	1.6749	0.21837	0.66162	0.09395	0.59288
CAPN7	5	0.55299	1.7606	0.012718	0.17629	0.078305	0.59288
CAPN9	5	-0.11422	-0.5543	0.54987	0.87796	0.57937	0.80436
CAPNS1	5	-2.9684e-05	-0.00019143	0.88471	0.97724	0.99985	0.99996
CAPNS2	5	0.17283	0.57716	0.54804	0.87739	0.56383	0.79464
CAPRIN1	5	-0.10317	-0.54193	0.58031	0.88803	0.58786	0.80926
CAPRIN2	5	0.032005	0.26536	0.99039	0.99933	0.79073	0.91299
CAPS	5	0.019586	0.12546	0.94824	0.99146	0.90016	0.9582
CAPS2	5	-0.36053	-1.7219	0.1394	0.56316	0.085084	0.59288
CAPSL	5	0.55645	1.3534	0.012052	0.17141	0.17593	0.59372
CAPZA1	5	-0.13208	-0.67191	0.50566	0.85888	0.50164	0.7584
CAPZA2	5	-0.29702	-1.113	0.21015	0.65292	0.26569	0.62356
CAPZA3	5	-0.032202	-0.16042	0.78418	0.95346	0.87255	0.94753
CAPZB	5	-0.62575	-3.0581	0.020826	0.23511	0.0022272	0.083548
CARD10	5	-0.13379	-0.71396	0.50156	0.85659	0.47525	0.74285
CARD11	5	0.1003	0.52974	0.78318	0.95346	0.59629	0.8138
CARD14	5	0.16235	1.1118	0.5787	0.88769	0.26622	0.62356
CARD16	7	-0.12506	-0.54272	0.45424	0.83423	0.58732	0.80897
CARD17	5	-0.34065	-1.1738	0.15961	0.59217	0.24046	0.61024
CARD18	4	0.18764	0.99347	0.54293	0.87373	0.32048	0.65248
CARD6	5	0.24082	1.0367	0.35699	0.77708	0.29988	0.64057
CARD8	10	-0.16891	-0.95427	0.26708	0.71055	0.33994	0.66413
CARD9	5	-0.03449	-0.20117	0.77769	0.95247	0.84057	0.93468
CARF	5	0.15971	0.58146	0.58764	0.89153	0.56093	0.79337
CARHSP1	5	0.37017	1.4969	0.1219	0.5355	0.13442	0.59288
CARKD	5	0.22379	0.85605	0.3997	0.80368	0.39197	0.6935
CARM1	5	-0.27827	-1.2625	0.23492	0.67944	0.20676	0.59717
CARNS1	5	-0.17939	-1.1393	0.40225	0.80569	0.25459	0.61703
CARS	5	-0.99307	-2.561	0.00083306	0.028517	0.010437	0.21651
CARS2	5	-0.19244	-0.92302	0.37582	0.78989	0.356	0.67236
CARTPT	5	0.020003	0.14619	0.94974	0.99191	0.88377	0.9522
CASC1	5	-0.030293	-0.21858	0.79035	0.95346	0.82697	0.92951
CASC10	5	-0.1638	-0.94225	0.4358	0.82513	0.34607	0.66745
CASC3	5	-0.10682	-0.68896	0.57031	0.88559	0.49085	0.75245
CASC4	5	-0.25285	-0.84229	0.2723	0.71629	0.39962	0.69766
CASC5	5	-0.94902	-2.9252	0.0011663	0.035836	0.0034428	0.10895
CASD1	4	0.12498	0.6314	0.72187	0.93471	0.52778	0.77394
CASK	5	0.34712	1.7566	0.15389	0.58568	0.078983	0.59288
