Gene	sgRNA	OMM23|beta	OMM23|z	OMM23|p-value	OMM23|fdr	OMM23|wald-p-value	OMM23|wald-fdr
ASXL1	5	0.0011985	0.01412	0.92069	0.98721	0.98873	0.99714
ASXL3	5	0.14517	1.192	0.14773	0.57751	0.23325	0.68342
ASZ1	5	-0.032196	-0.35158	0.87982	0.98331	0.72515	0.91967
ATAD1	4	-0.087266	-0.27958	0.62401	0.92281	0.7798	0.93921
ATAD2	5	0.044531	0.45101	0.64073	0.92771	0.65198	0.89105
ATAD2B	5	0.014006	0.094806	0.84016	0.97829	0.92447	0.98195
ATAD3A	6	-0.071196	-0.98458	0.68472	0.94072	0.32483	0.73166
ATAD3B	4	-0.013383	-0.10184	0.96968	0.99476	0.91888	0.97995
ATAD3C	5	-0.086034	-0.63222	0.6259	0.92332	0.52724	0.83455
ATAD5	5	0.033069	0.26797	0.71815	0.95362	0.78872	0.94171
ATAT1	5	0.085909	0.54248	0.39759	0.81892	0.58749	0.86203
ATCAY	5	0.14196	1.1226	0.15789	0.59168	0.26161	0.70005
ATE1	5	0.22057	1.2321	0.024325	0.23335	0.21791	0.67529
ATF1	5	-0.021141	-0.11295	0.9453	0.99225	0.91007	0.97832
ATF2	5	-0.033591	-0.24555	0.87299	0.98313	0.80603	0.94758
ATF3	11	0.090132	1.2252	0.16661	0.60484	0.22052	0.67745
ATF4	4	-0.47216	-2.5901	0.061146	0.38416	0.0095944	0.13444
ATF5	5	-0.051631	-0.39715	0.78207	0.96867	0.69126	0.90612
ATF6	5	-0.05815	-0.39936	0.74964	0.96297	0.68963	0.90581
ATF6B	5	-0.075078	-0.81309	0.66955	0.93544	0.41617	0.78356
ATF7	8	-0.1458	-0.99066	0.3616	0.79517	0.32185	0.72927
ATF7IP	5	0.030569	0.27135	0.73437	0.95787	0.78612	0.94071
ATF7IP2	5	0.15693	1.219	0.11474	0.51586	0.22285	0.67842
ATG10	5	0.11475	0.85896	0.25703	0.71047	0.39036	0.77104
ATG12	6	-0.089953	-0.70414	0.59924	0.91581	0.48134	0.8143
ATG13	5	0.18574	1.3051	0.059425	0.38065	0.19185	0.66202
ATG14	5	0.014532	0.16537	0.83694	0.97829	0.86865	0.96723
ATG16L1	5	0.079139	0.67286	0.43424	0.83982	0.50104	0.8226
ATG16L2	5	-0.049642	-0.39221	0.79157	0.97019	0.6949	0.90722
ATG2A	5	-0.10616	-0.84004	0.54626	0.89119	0.40089	0.77767
ATG2B	5	0.012671	0.21912	0.84811	0.97829	0.82656	0.95364
ATG3	4	-0.33102	-1.8825	0.15117	0.58421	0.05977	0.48621
ATG4A	5	0.096143	0.54983	0.345	0.78713	0.58244	0.86004
ATG4B	5	0.19885	1.3394	0.04343	0.32327	0.18044	0.65387
ATG4C	5	-0.23278	-1.53	0.23092	0.6883	0.12602	0.61112
ATG4D	5	0.22263	1.7582	0.022992	0.22611	0.07871	0.54074
ATG5	5	-0.076949	-0.65971	0.6625	0.93327	0.50944	0.82654
ATG7	5	0.039075	0.48836	0.67666	0.93731	0.62529	0.87933
ATG9A	5	-0.088996	-0.6779	0.61263	0.91888	0.49783	0.82209
ATHL1	5	0.086252	0.47524	0.39537	0.81668	0.63462	0.88354
ATIC	5	-0.098031	-0.81635	0.57836	0.90588	0.4143	0.78311
ATL1	5	-0.041061	-0.20354	0.83522	0.97829	0.83872	0.9583
ATL2	4	-0.13434	-0.95748	0.47129	0.85891	0.33833	0.73994
ATL3	5	-0.362	-2.3046	0.089637	0.46286	0.021191	0.24599
ATM	5	0.16209	1.0584	0.10213	0.49079	0.28988	0.71589
ATMIN	5	0.048643	0.52168	0.61691	0.92101	0.60189	0.86889
ATN1	5	0.16593	1.5032	0.093747	0.47243	0.1328	0.61708
ATOH1	5	-0.056797	-0.48117	0.75658	0.96366	0.63039	0.88155
ATOH7	5	-0.012191	-0.078197	0.99878	0.99956	0.93767	0.98441
ATOH8	5	-0.048989	-0.42795	0.79562	0.97139	0.66868	0.89802
ATOX1	3	-0.18786	-1.0295	0.36382	0.79628	0.30327	0.72095
ATP10A	5	-0.16023	-1.3939	0.38182	0.80804	0.16336	0.64615
ATP10B	5	0.043565	0.48334	0.6464	0.92887	0.62885	0.88045
ATP10D	5	0.20032	1.3397	0.041708	0.31581	0.18035	0.65377
ATP11A	5	0.1424	1.1512	0.15606	0.58824	0.24965	0.69352
ATP11B	5	-0.085348	-0.51693	0.62885	0.9239	0.60521	0.87109
ATP11C	5	0.014116	0.083578	0.83972	0.97829	0.93339	0.98305
ATP12A	5	0.018207	0.12986	0.81356	0.97463	0.89668	0.97531
ATP13A1	5	-0.18441	-1.6782	0.32306	0.77564	0.093312	0.57395
ATP13A2	5	0.065326	0.78773	0.51344	0.87675	0.43086	0.78965
ATP13A3	5	0.027465	0.20208	0.75503	0.96343	0.83985	0.95869
ATP13A4	5	0.22876	1.1568	0.018994	0.20118	0.24734	0.6923
ATP13A5	5	0.12393	1.0278	0.22181	0.67661	0.30403	0.72095
ATP1A1	5	-0.66024	-2.7423	0.0083306	0.11728	0.006101	0.094215
ATP1A2	4	0.13602	0.79365	0.23165	0.68856	0.4274	0.78842
ATP1A3	5	0.1123	0.87775	0.26786	0.72223	0.38008	0.76517
ATP1A4	10	-0.02267	-0.30112	0.99239	0.99849	0.76332	0.93471
ATP1B1	4	0.088323	1.0403	0.44646	0.84728	0.29819	0.71839
ATP1B2	5	0.14731	1.0587	0.14145	0.56726	0.28974	0.71589
ATP1B3	5	0.080106	0.52765	0.42958	0.83677	0.59774	0.8669
ATP1B4	5	0.053495	0.56859	0.58614	0.90913	0.56963	0.85363
ATP2A1	5	0.035199	0.32505	0.70332	0.94844	0.74514	0.92739
ATP2A2	5	-1.6706	-4.5797	0	0	4.6562e-06	0.00040307
ATP2A3	5	0.072148	0.73825	0.47501	0.86047	0.46036	0.80237
ATP2B1	5	-0.0035629	-0.039812	0.95013	0.99343	0.96824	0.99226
ATP2B2	5	0.013256	0.15984	0.84477	0.97829	0.873	0.9683
ATP2B3	5	0.16176	1.2793	0.10263	0.49098	0.20078	0.66598
ATP2B4	5	-0.095031	-1.057	0.58847	0.91	0.2905	0.71597
ATP2C1	5	-0.10775	-1.2697	0.54126	0.88931	0.20418	0.66696
ATP2C2	5	-0.13457	-1.1514	0.45329	0.85154	0.24959	0.69352
ATP4A	5	-0.046302	-0.54983	0.80834	0.97398	0.58243	0.86004
ATP4B	4	-0.02337	-0.14361	0.91497	0.98653	0.88581	0.972
ATP5A1	5	-1.7423	-5.096	0	0	3.4698e-07	5.4327e-05
ATP5B	5	-1.5758	-4.6407	0	0	3.4721e-06	0.00032329
ATP5C1	5	-1.1388	-3.6046	0.00033322	0.011111	0.00031262	0.0096552
ATP5D	5	-1.1473	-4.3492	0.00033322	0.011111	1.3664e-05	0.00091806
ATP5F1	5	-1.2032	-3.4324	0.00016661	0.0064378	0.00059818	0.015957
ATP5G1	5	-0.21479	-1.6055	0.2623	0.71606	0.10837	0.58908
ATP5G2	5	-0.20592	-1.4821	0.27985	0.7365	0.13831	0.62076
ATP5G3	5	0.16719	1.2776	0.091636	0.46742	0.2014	0.66598
ATP5H	4	-0.72267	-2.8248	0.01083	0.14151	0.0047312	0.077235
ATP5I	2	-0.035231	-0.56583	0.82245	0.97622	0.57151	0.85487
ATP5J	6	-0.52303	-2.9087	0.014773	0.1704	0.0036295	0.063082
ATP5J2	7	-1.1555	-4.6938	0	0	2.6816e-06	0.00026975
ATP5J2-PTCD1	5	-0.28485	-1.9939	0.15961	0.59413	0.04616	0.42689
ATP5L	4	-0.8167	-2.7629	0.0061091	0.094991	0.0057291	0.089703
ATP5L2	4	-0.31772	-1.674	0.164	0.60094	0.094124	0.57395
ATP5O	5	-0.46123	-2.1323	0.03982	0.30693	0.032979	0.34108
ATP5S	5	-0.068469	-0.43175	0.70038	0.94677	0.66592	0.89656
ATP5SL	5	-0.43934	-2.2324	0.048317	0.34494	0.02559	0.28285
ATP6AP1	5	-0.05138	-0.32646	0.78291	0.96867	0.74408	0.92719
ATP6AP1L	5	-0.062084	-0.82778	0.73226	0.95787	0.4078	0.78053
ATP6AP2	5	-0.18288	-1.1123	0.32656	0.77716	0.26603	0.70242
ATP6V0A1	5	-0.17071	-1.1663	0.35188	0.79207	0.24348	0.68929
ATP6V0A2	5	-0.032238	-0.30762	0.87965	0.98331	0.75837	0.93303
ATP6V0A4	5	0.12492	0.99436	0.21737	0.67065	0.32005	0.72872
ATP6V0B	5	-0.51362	-2.2179	0.025825	0.24282	0.026562	0.29078
ATP6V0C	5	-1.864	-5.3611	0	0	8.2696e-08	1.7882e-05
ATP6V0D1	5	-2.027	-5.7156	0	0	1.0934e-08	3.7861e-06
ATP6V0D2	5	-0.10211	-0.66286	0.56181	0.8993	0.50742	0.8262
ATP6V0E1	5	0.012503	0.11058	0.84933	0.97829	0.91195	0.97852
ATP6V0E2	5	-0.02179	-0.20247	0.94091	0.99122	0.83955	0.95852
ATP6V1A	5	-2.0324	-5.3335	0	0	9.6313e-08	2.0165e-05
ATP6V1B1	5	0.11381	0.92516	0.26102	0.71494	0.35488	0.74913
ATP6V1B2	5	-1.2985	-3.519	0.00011107	0.0047393	0.00043316	0.012499
ATP6V1C1	5	-1.0176	-3.5374	0.00055537	0.015267	0.00040413	0.01191
ATP6V1C2	5	0.030015	0.37434	0.73775	0.95893	0.70815	0.91352
ATP6V1D	4	-0.96481	-2.4438	0.0017216	0.035632	0.014535	0.18353
ATP6V1E1	5	-1.0952	-3.7399	0.0004443	0.012924	0.00018412	0.0064169
ATP6V1E2	5	0.17809	1.2519	0.071809	0.41845	0.21062	0.67007
ATP6V1F	4	-0.46126	-1.9534	0.065756	0.40014	0.050774	0.44925
ATP6V1G1	5	-1.1115	-3.209	0.0004443	0.012924	0.0013319	0.0301
ATP6V1G2	7	0.076998	0.80546	0.35222	0.79207	0.42055	0.78541
ATP6V1G3	6	0.0065662	0.037605	0.85127	0.97844	0.97	0.99236
ATP6V1H	4	-0.74401	-2.6946	0.0092747	0.12906	0.0070481	0.10506
ATP7A	5	0.016571	0.10079	0.82384	0.97656	0.91972	0.98
ATP7B	5	0.085616	0.70982	0.39931	0.82037	0.47782	0.81314
ATP8A1	5	0.18365	1.1872	0.062368	0.38764	0.23514	0.68423
ATP8A2	5	0.11227	1.0323	0.26797	0.72223	0.30192	0.72089
ATP8B1	5	0.12604	1.0802	0.21287	0.66603	0.28004	0.71139
ATP8B2	5	-0.072922	-0.59117	0.68044	0.93892	0.55441	0.846
ATP8B3	5	0.092958	0.83574	0.36166	0.79517	0.4033	0.77858
ATP8B4	5	0.11079	1.1603	0.27458	0.72888	0.24594	0.6916
ATP9A	5	0.054018	0.44346	0.58258	0.90728	0.65743	0.893
ATP9B	5	0.13244	0.92652	0.18994	0.63711	0.35418	0.74913
ATPAF1	13	0.045984	0.5727	0.38343	0.80947	0.56685	0.85201
ATPAF2	5	0.22012	1.6395	0.024603	0.23427	0.1011	0.58368
ATPIF1	5	-0.37677	-2.2472	0.080084	0.43883	0.024626	0.27507
ATR	5	-1.5943	-4.4205	0	0	9.8451e-06	0.00073556
ATRAID	5	-0.013797	-0.13905	0.99011	0.99748	0.88941	0.97314
ATRIP	5	-0.57148	-2.2178	0.016328	0.18081	0.026566	0.29078
ATRN	5	0.034799	0.33884	0.70682	0.94971	0.73473	0.92373
ATRNL1	5	0.14663	1.5311	0.14384	0.57137	0.12575	0.61066
ATRX	5	0.080984	0.91337	0.42414	0.83341	0.36105	0.75409
ATXN1	5	0.028962	0.34325	0.74464	0.96143	0.73141	0.9219
ATXN10	5	-0.64256	-2.3101	0.010052	0.13558	0.020882	0.24336
ATXN1L	4	-0.060891	-0.41189	0.73314	0.95787	0.68042	0.9025
ATXN2	5	-0.06048	-0.74419	0.73842	0.95924	0.45676	0.80088
ATXN2L	5	0.0030331	0.024514	0.90964	0.98604	0.98044	0.99459
ATXN3	5	0.001195	0.011494	0.92069	0.98721	0.99083	0.9976
ATXN3L	5	0.35129	1.4896	0.00038876	0.012891	0.13634	0.61908
ATXN7	5	0.010334	0.089067	0.86466	0.98122	0.92903	0.98227
ATXN7L1	11	0.079473	1.0289	0.21509	0.66753	0.30352	0.72095
ATXN7L2	5	-0.017876	-0.1504	0.96446	0.99463	0.88045	0.97086
ATXN7L3	5	0.020409	0.16823	0.79923	0.97224	0.86641	0.96643
ATXN7L3B	5	-0.028443	-0.25818	0.90053	0.98493	0.79627	0.94462
AUH	5	-0.083508	-0.72039	0.63579	0.92594	0.47128	0.80837
AUNIP	5	0.18719	1.4602	0.057759	0.37627	0.14423	0.62621
AUP1	5	-0.048189	-0.40978	0.7994	0.97224	0.68196	0.90285
AURKA	5	-0.83516	-2.7872	0.0016661	0.034762	0.0053166	0.084493
AURKAIP1	5	-0.55494	-3.1195	0.019327	0.2028	0.0018119	0.03737
AURKB	5	-1.5458	-4.4507	0	0	8.5582e-06	0.00067199
AURKC	5	0.03419	0.30811	0.71115	0.95083	0.758	0.93296
AUTS2	5	0.23054	1.3922	0.017772	0.19196	0.16385	0.64636
AVEN	5	-0.0088524	-0.059141	0.98034	0.99573	0.95284	0.98892
AVIL	5	-0.11099	-0.56279	0.5291	0.88395	0.57358	0.8556
AVL9	5	0.21285	1.2041	0.029879	0.26244	0.22857	0.68106
AVP	5	0.22759	1.5155	0.019494	0.20348	0.12965	0.61419
AVPI1	5	0.071219	0.60062	0.4799	0.86289	0.54809	0.8428
AVPR1A	5	-0.13098	-1.5424	0.46573	0.85611	0.12297	0.60782
AVPR1B	5	0.0047204	0.051618	0.89942	0.98493	0.95883	0.99027
AVPR2	5	0.13296	1.055	0.18838	0.63546	0.29144	0.71597
AWAT1	5	0.18718	1.5683	0.057759	0.37627	0.11682	0.60025
AWAT2	5	0.19445	1.6622	0.048817	0.34675	0.096474	0.57774
AXDND1	5	0.090079	0.66012	0.37571	0.80206	0.50918	0.8265
AXIN1	5	0.075547	0.67503	0.45485	0.85179	0.49965	0.8223
AXIN2	5	0.11375	0.72335	0.26114	0.71502	0.46946	0.80744
AXL	5	-0.0046975	-0.038381	0.95657	0.99343	0.96938	0.99236
AZGP1	5	0.15031	0.58263	0.13307	0.55281	0.56014	0.84834
AZI1	5	0.099121	0.92172	0.33072	0.77904	0.35668	0.7504
AZI2	5	-0.12764	-0.78572	0.47523	0.86047	0.43203	0.79032
AZIN1	5	-0.13415	-1.1451	0.45457	0.85179	0.25218	0.69472
AZU1	5	0.13463	1.3545	0.18161	0.62274	0.17559	0.65205
B2M	5	0.072252	0.61277	0.4744	0.86036	0.54003	0.84003
B3GALNT1	5	-0.032178	-0.1782	0.87982	0.98331	0.85857	0.96446
B3GALNT2	4	-0.17411	-0.74797	0.37593	0.8022	0.45448	0.79915
B3GALT1	5	0.10977	0.98848	0.27952	0.73593	0.32292	0.73014
B3GALT2	5	0.098964	0.86468	0.33133	0.77952	0.38721	0.76901
B3GALT4	5	0.026838	0.22458	0.75869	0.96388	0.82231	0.95286
B3GALT5	5	0.18616	1.0841	0.059091	0.37959	0.27834	0.71042
B3GALT6	5	0.087604	1.1453	0.38881	0.81257	0.25209	0.69472
B3GALTL	5	-0.098158	-0.66849	0.57792	0.90581	0.50382	0.82435
B3GAT1	5	0.085535	0.50775	0.39964	0.82043	0.61163	0.874
B3GAT2	5	0.00082868	0.0082611	0.9228	0.98754	0.99341	0.99791
B3GAT3	5	-0.2228	-1.7095	0.24808	0.70308	0.087364	0.56434
B3GNT1	5	-0.36139	-2.3217	0.090026	0.4642	0.020251	0.23749
B3GNT2	5	-0.29253	-2.32	0.15151	0.58478	0.020342	0.23805
B3GNT3	5	0.022911	0.26191	0.78324	0.96868	0.79339	0.94341
B3GNT4	5	0.071507	0.79747	0.47801	0.86143	0.42518	0.78706
B3GNT5	5	0.014478	0.12697	0.83739	0.97829	0.89896	0.97573
B3GNT6	5	-0.15761	-1.4419	0.38798	0.81257	0.14932	0.63151
B3GNT7	5	0.057563	0.71951	0.56031	0.8988	0.47182	0.80865
B3GNT8	5	0.085942	0.80353	0.39726	0.81884	0.42167	0.78564
B3GNT9	5	-0.19981	-1.8097	0.29296	0.74812	0.070341	0.521
B3GNTL1	5	0.0010609	0.010743	0.9213	0.98721	0.99143	0.99763
B4GALNT1	5	0.017945	0.2019	0.81512	0.97463	0.84	0.9587
B4GALNT2	5	0.16626	1.3101	0.093247	0.47163	0.19017	0.66134
B4GALNT3	5	0.21349	1.6621	0.02949	0.26091	0.096483	0.57774
B4GALNT4	5	0.11917	0.97432	0.23992	0.696	0.3299	0.735
B4GALT1	5	-0.038809	-0.36349	0.8475	0.97829	0.71624	0.917
B4GALT2	5	-0.013168	-0.072892	0.99334	0.99872	0.94189	0.98569
B4GALT3	5	-0.11944	-0.91948	0.50089	0.87204	0.35785	0.75098
B4GALT4	4	-0.12842	-0.77651	0.48767	0.86698	0.43745	0.7926
B4GALT5	5	0.14406	1.1051	0.15095	0.58389	0.26912	0.70567
B4GALT6	5	0.034263	0.27843	0.71076	0.95082	0.78068	0.93938
B4GALT7	5	0.10576	1.3969	0.29751	0.75144	0.16246	0.64488
B9D1	5	-0.024533	-0.24728	0.92414	0.98754	0.80469	0.94715
B9D2	5	-0.086526	-0.98619	0.62413	0.92281	0.32404	0.73115
BAALC	7	0.14635	1.5841	0.080973	0.44102	0.11317	0.5965
BAAT	5	0.10802	0.66237	0.28779	0.74444	0.50774	0.8262
BABAM1	5	0.033259	0.31638	0.71687	0.95335	0.75171	0.93025
BACE1	5	0.018397	0.15093	0.8124	0.97463	0.88003	0.97071
BACE2	5	0.18338	1.0587	0.062701	0.38824	0.28973	0.71589
BACH1	5	0.0099334	0.1302	0.8676	0.98221	0.89641	0.97527
BACH2	5	0.13915	1.1225	0.16744	0.6053	0.26165	0.70005
BAD	5	-0.31366	-2.3711	0.12996	0.54692	0.017736	0.21361
BAG1	5	-0.17728	-1.243	0.33833	0.78377	0.21388	0.672
BAG2	5	0.040391	0.29257	0.66767	0.93491	0.76985	0.93636
BAG3	5	0.093462	0.90004	0.35877	0.79425	0.3681	0.75817
BAG4	5	-0.0044355	-0.041816	0.9549	0.99343	0.96665	0.99217
BAG5	5	0.056708	0.47237	0.56537	0.90088	0.63666	0.88407
BAG6	5	-0.021539	-0.22938	0.94246	0.99159	0.81857	0.95134
BAHD1	5	0.22638	1.8243	0.020104	0.20707	0.06811	0.51299
BAI1	5	0.10386	1.2523	0.30762	0.76305	0.21047	0.6699
BAI2	4	0.096693	0.81483	0.40548	0.82311	0.41517	0.78311
BAI3	5	-0.014572	-0.11849	0.98517	0.99607	0.90568	0.97761
BAIAP2	5	0.044617	0.43296	0.64034	0.92767	0.66505	0.89639
BAIAP2L1	5	-0.045815	-0.41159	0.81029	0.97429	0.68064	0.9025
BAIAP2L2	5	0.039038	0.45887	0.67672	0.93731	0.64633	0.88858
BAIAP3	5	-0.004529	-0.052333	0.95574	0.99343	0.95826	0.99016
BAK1	5	-0.10012	-1.0736	0.56998	0.9024	0.28302	0.71244
BAMBI	5	-0.050492	-0.26427	0.78646	0.96907	0.79157	0.94311
BANF1	4	-2.3366	-5.3353	0	0	9.5385e-08	2.0165e-05
BANF2	6	0.15972	1.5274	0.075641	0.42629	0.12667	0.61112
BANK1	5	0.18509	1.1982	0.060258	0.38191	0.23083	0.68215
BANP	5	-0.81686	-2.7945	0.0021659	0.042952	0.0051986	0.083058
BAP1	5	-0.8484	-3.7144	0.0016106	0.034118	0.00020367	0.0068291
BARD1	5	0.015009	0.10282	0.83322	0.97806	0.9181	0.97995
BARHL1	5	0.04236	0.3365	0.65506	0.93101	0.73649	0.92477
BARHL2	5	0.023059	0.20425	0.78241	0.96867	0.83816	0.95809
BARX1	5	0.00021677	0.0021087	0.92602	0.98797	0.99832	0.99943
BARX2	5	0.084323	0.82342	0.40581	0.82351	0.41027	0.78121
BASP1	5	0.092952	0.6106	0.36177	0.79517	0.54146	0.84106
BATF	5	0.019685	0.16589	0.80357	0.97398	0.86824	0.96713
BATF2	4	-0.084204	-0.64373	0.63629	0.92597	0.51975	0.83188
BATF3	5	0.23946	1.7025	0.013773	0.16241	0.088664	0.56691
BAX	5	-0.12476	-1.0645	0.48434	0.86488	0.2871	0.71547
BAZ1A	5	0.067811	0.47795	0.49917	0.87026	0.63269	0.88255
BAZ1B	5	-0.029511	-0.29497	0.89398	0.9842	0.76802	0.9354
BAZ2A	5	-0.050188	-0.38435	0.78868	0.96997	0.70072	0.90982
BAZ2B	5	-0.070764	-0.44733	0.68977	0.94305	0.65464	0.89258
BBC3	18	-0.01298	-0.16374	0.83572	0.97829	0.86994	0.96746
BBIP1	9	0.037871	0.35432	0.53949	0.88931	0.7231	0.91896
BBOX1	5	0.30371	1.4598	0.001555	0.033453	0.14434	0.62621
BBS1	5	-0.20333	-1.4755	0.28529	0.74311	0.14008	0.62284
BBS10	4	0.11034	0.68521	0.3385	0.78382	0.49321	0.82069
BBS12	5	-0.018137	-0.091075	0.96307	0.99463	0.92743	0.98219
BBS2	5	0.084558	0.58023	0.40481	0.82269	0.56176	0.84934
BBS4	5	0.3069	1.6667	0.0014995	0.032374	0.095571	0.57531
BBS5	4	-0.038535	-0.26331	0.83533	0.97829	0.79231	0.94317
BBS7	5	-0.022698	-0.18427	0.93552	0.99024	0.8538	0.96354
BBS9	5	0.20921	1.3143	0.032545	0.27319	0.18873	0.66033
BBX	5	0.057626	0.68476	0.55981	0.89856	0.49349	0.82069
BCAM	5	0.172	1.4557	0.082361	0.44361	0.14547	0.62731
BCAN	5	0.0033902	0.031961	0.90736	0.9854	0.9745	0.99275
BCAP29	5	-0.21788	-1.1221	0.25647	0.70981	0.26182	0.70005
BCAP31	5	-0.14638	-1.0882	0.41758	0.82982	0.27651	0.70845
BCAR1	5	0.058802	0.50871	0.55259	0.89318	0.61096	0.874
BCAR3	5	-0.07067	-0.47405	0.69027	0.94323	0.63546	0.88379
BCAS1	5	0.19627	1.5826	0.046151	0.3363	0.11352	0.5965
BCAS2	5	-1.2833	-3.7218	0.00011107	0.0047393	0.00019778	0.0067577
BCAS3	5	-0.012702	-0.12607	0.99639	0.99939	0.89968	0.97573
BCAS4	5	0.30431	1.6369	0.0014995	0.032374	0.10166	0.58368
BCAT1	5	0.11319	1.1447	0.26386	0.71741	0.25234	0.69472
BCAT2	5	-0.10779	-1.2065	0.54126	0.88931	0.22763	0.68073
BCCIP	5	-0.55029	-1.8615	0.019882	0.20587	0.062677	0.49568
BCDIN3D	5	-0.1403	-0.97508	0.43474	0.83982	0.32952	0.735
BCHE	5	0.075116	0.80183	0.45707	0.85179	0.42265	0.78566
BCKDHA	5	-0.076177	-0.4903	0.6655	0.9342	0.62392	0.879
BCKDHB	5	0.0493	0.4355	0.61274	0.91888	0.6632	0.89571
BCKDK	5	0.15429	1.0228	0.12157	0.52926	0.3064	0.7224
BCL10	5	-0.41412	-2.4659	0.058814	0.37835	0.013669	0.17505
BCL11A	5	0.059793	0.50623	0.54715	0.89151	0.61269	0.87474
BCL11B	5	0.1234	1.2026	0.22359	0.6792	0.22914	0.68106
BCL2	5	-0.08306	-0.48347	0.63751	0.92655	0.62876	0.88045
BCL2A1	4	-0.018228	-0.20123	0.94302	0.99176	0.84052	0.9587
BCL2L1	5	-0.25838	-2.0168	0.19382	0.64156	0.043715	0.4119
BCL2L10	5	0.24191	1.7228	0.012718	0.154	0.084928	0.55863
BCL2L11	17	-0.13902	-1.8053	0.23575	0.69181	0.071027	0.52227
BCL2L12	5	-0.022327	-0.2117	0.93802	0.99027	0.83234	0.95522
BCL2L13	13	-0.069907	-0.72487	0.66295	0.93339	0.46853	0.80734
BCL2L14	5	0.33579	1.8498	0.00061091	0.016517	0.06435	0.50131
BCL2L15	5	-0.19406	-1.19	0.30418	0.75869	0.23406	0.68342
BCL2L2	5	-0.098703	-0.86832	0.57514	0.90352	0.38522	0.76804
BCL2L2-PABPN1	1	-2.2857	-2.4103	0.017216	0.18788	0.015939	0.19697
BCL3	5	0.1011	0.95105	0.321	0.77418	0.34158	0.74216
BCL6	5	0.17648	1.2775	0.074309	0.42422	0.20142	0.66598
BCL6B	5	0.1308	1.0023	0.19599	0.64518	0.31619	0.72646
BCL7A	5	0.0012637	0.008895	0.92036	0.98721	0.9929	0.99791
BCL7B	5	0.22621	1.6796	0.020271	0.20762	0.093027	0.57365
BCL7C	5	-0.092953	-1.223	0.59763	0.91517	0.22132	0.67751
BCL9	5	-0.077923	-0.77983	0.65884	0.93131	0.43549	0.79165
BCL9L	5	0.13485	1.2122	0.18077	0.6213	0.22543	0.67991
BCLAF1	5	-0.29975	-1.5147	0.14312	0.57039	0.12984	0.61419
BCMO1	5	0.064134	0.48395	0.51988	0.87905	0.62842	0.88037
BCO2	5	-0.063212	-0.63141	0.72659	0.95643	0.52777	0.83472
BCOR	5	0.12021	1.1111	0.23587	0.69181	0.26653	0.70285
BCORL1	5	0.068014	0.63955	0.49783	0.87002	0.52247	0.83231
BCR	5	0.25354	1.5424	0.0096079	0.13186	0.12298	0.60782
BCS1L	5	-0.58311	-3.2102	0.015106	0.17281	0.0013265	0.030068
BDH1	5	-0.036987	-0.34624	0.85627	0.97923	0.72916	0.9209
BDH2	5	-0.060461	-0.40186	0.7387	0.95939	0.68779	0.90549
BDKRB1	5	0.018905	0.18651	0.80862	0.97398	0.85204	0.96284
BDKRB2	5	-0.013493	-0.080791	0.99145	0.99788	0.93561	0.98366
BDNF	5	-0.10181	-0.99307	0.56298	0.89963	0.32068	0.72872
BDP1	5	-0.34885	-1.8305	0.098189	0.48253	0.067172	0.51012
BEAN1	13	0.015229	0.28392	0.62951	0.9241	0.77647	0.9385
BECN1	5	-0.3046	-1.9697	0.13862	0.56267	0.048876	0.44135
BEGAIN	5	0.0039261	0.032364	0.90409	0.98512	0.97418	0.99261
BEND2	5	0.21034	1.2433	0.031712	0.27113	0.21376	0.672
BEND3	5	0.058574	0.97181	0.55359	0.89409	0.33115	0.73568
BEND4	5	0.18644	1.3007	0.058592	0.37773	0.19337	0.66202
BEND5	5	0.021221	0.16404	0.79407	0.97054	0.8697	0.96746
BEND6	5	0.1143	0.80311	0.25902	0.7123	0.42191	0.78564
BEND7	5	0.15726	1.0726	0.11352	0.51353	0.28347	0.71244
BEST1	5	-0.20585	-1.9611	0.28013	0.7365	0.049864	0.44691
BEST2	5	0.087566	0.59077	0.38904	0.81257	0.55467	0.846
BEST3	7	0.032995	0.27606	0.63695	0.92627	0.7825	0.93994
BEST4	5	0.019828	0.23178	0.80257	0.97398	0.81671	0.9506
BET1	4	-0.38242	-1.266	0.10941	0.50786	0.20552	0.66696
BET1L	5	0.21103	1.6885	0.031212	0.26977	0.091311	0.57019
BEX1	5	0.070243	0.58267	0.48484	0.86496	0.56012	0.84834
BEX2	5	0.15815	1.5654	0.11157	0.51055	0.11749	0.60166
BEX4	5	0.13076	0.79932	0.1961	0.64518	0.42411	0.78659
BEX5	4	0.071365	0.39331	0.53954	0.88931	0.69409	0.90689
BFAR	5	0.01563	0.20802	0.82983	0.97802	0.83521	0.95667
BFSP1	5	0.01312	0.092669	0.84544	0.97829	0.92617	0.98219
BFSP2	5	0.2129	1.6144	0.029879	0.26244	0.10644	0.58657
BGLAP	5	-0.043184	-0.43444	0.82306	0.97622	0.66397	0.89609
BGN	5	0.26737	1.6493	0.0061091	0.094991	0.099079	0.58181
BHLHA15	5	0.086331	0.8896	0.39503	0.81655	0.37368	0.76115
BHLHA9	5	0.00648	0.068701	0.88909	0.98354	0.94523	0.98616
BHLHB9	5	0.04524	0.37695	0.63673	0.92609	0.70621	0.91265
BHLHE22	5	0.062739	0.50903	0.52866	0.88376	0.61073	0.874
BHLHE40	5	-0.046796	-0.34798	0.80556	0.97398	0.72786	0.9206
