Gene	sgRNA	Mel270|beta	Mel270|z	Mel270|p-value	Mel270|fdr	Mel270|wald-p-value	Mel270|wald-fdr
C7orf50	5	0.1817	0.96753	0.11713	0.50868	0.33328	0.66059
C7orf55	5	0.057296	0.55609	0.59425	0.8782	0.57815	0.80593
C7orf55-LUC7L2	2	-0.23673	-0.89663	0.37149	0.77554	0.36992	0.68516
C7orf57	5	0.071667	0.87861	0.51988	0.85125	0.37961	0.69037
C7orf60	5	-0.20249	-1.1696	0.31323	0.73212	0.24216	0.60472
C7orf61	5	-0.35724	-2.4176	0.097245	0.4726	0.015625	0.19323
C7orf62	5	-0.079472	-0.48606	0.69871	0.91432	0.62692	0.83189
C7orf63	5	-0.082184	-0.58985	0.68749	0.91031	0.55529	0.79413
C7orf65	4	0.25864	1.7556	0.040931	0.30242	0.079164	0.4644
C7orf66	5	0.12262	0.9299	0.29146	0.71409	0.35242	0.67328
C7orf69	5	-0.053136	-0.38578	0.81556	0.95419	0.69966	0.86925
C7orf71	5	0.02573	0.19795	0.76769	0.93815	0.84309	0.9354
C7orf72	5	-0.12161	-0.88214	0.5371	0.85858	0.3777	0.68901
C8A	5	0.091662	0.5195	0.42447	0.81067	0.60341	0.81901
C8B	5	0.052477	0.47858	0.61979	0.88803	0.63224	0.83436
C8G	5	0.072351	0.85802	0.51666	0.85017	0.39088	0.69789
C8orf22	4	-0.13573	-0.83885	0.5191	0.85066	0.40155	0.7054
C8orf31	5	0.10255	0.97794	0.37571	0.7792	0.3281	0.65793
C8orf33	5	0.043714	0.45112	0.66694	0.90388	0.6519	0.84618
C8orf34	5	-0.12016	-0.95041	0.54282	0.86117	0.34191	0.66584
C8orf37	5	-0.036012	-0.25148	0.90153	0.97749	0.80145	0.91584
C8orf4	5	0.1862	1.5346	0.10946	0.49487	0.12488	0.51943
C8orf44	1	0.01639	0.060175	0.98367	0.99522	0.95202	0.98274
C8orf46	5	-0.06625	-0.96566	0.75519	0.93239	0.33422	0.66116
C8orf47	7	0.017021	0.15441	0.75219	0.93156	0.87728	0.95136
C8orf48	5	0.064335	0.47221	0.5577	0.86733	0.63678	0.83731
C8orf58	5	0.069483	0.67226	0.53149	0.85659	0.50142	0.76435
C8orf59	3	-0.38223	-0.93887	0.15528	0.56599	0.3478	0.67072
C8orf74	5	0.10059	1.0598	0.38443	0.7849	0.28925	0.63375
C8orf76	5	0.16993	1.2823	0.14506	0.55222	0.19974	0.57582
C8orf82	5	0.11199	0.91978	0.33678	0.75155	0.35769	0.67688
C8orf86	5	-0.059118	-0.60953	0.78724	0.9457	0.54217	0.78552
C8orf87	5	0.045859	0.41571	0.65484	0.89953	0.67762	0.85804
C8orf88	5	0.13584	0.73123	0.24314	0.67416	0.46464	0.74261
C9	5	-0.00033969	-0.0043327	0.91203	0.98049	0.99654	0.99949
C9orf114	5	-1.0831	-4.1404	0.00027769	0.0085034	3.4669e-05	0.0021526
C9orf116	5	0.11098	1.1635	0.3415	0.75667	0.24462	0.60649
C9orf117	5	0.12981	1.1043	0.26508	0.69771	0.26944	0.62296
C9orf129	5	-0.15235	-1.0049	0.44052	0.81856	0.31493	0.65096
C9orf131	5	0.020275	0.19887	0.7989	0.94922	0.84237	0.93531
C9orf135	5	-0.084103	-0.57647	0.67944	0.90767	0.56429	0.79959
C9orf139	5	0.20033	2.0217	0.083417	0.43931	0.043202	0.38034
C9orf142	5	0.13217	1.226	0.25647	0.68679	0.2202	0.59015
C9orf152	5	0.17246	1.2821	0.13745	0.53957	0.19981	0.57592
C9orf153	4	0.195	0.73928	0.13135	0.53027	0.45973	0.74036
C9orf156	5	0.22715	1.3848	0.048873	0.33626	0.1661	0.55093
C9orf16	5	-0.096825	-0.93909	0.6259	0.88999	0.34768	0.67061
C9orf163	5	0.077626	1.0626	0.49095	0.84175	0.28795	0.63316
C9orf170	5	0.01334	0.05951	0.83589	0.96045	0.95255	0.98309
C9orf171	5	0.11474	0.94658	0.32467	0.74254	0.34385	0.66725
C9orf172	5	-0.11667	-0.80603	0.55504	0.86567	0.42023	0.71608
C9orf173	5	0.32915	1.9233	0.002999	0.053892	0.054438	0.4165
C9orf24	13	-0.011103	-0.15431	0.85671	0.96583	0.87737	0.95136
C9orf3	5	0.17087	1.1003	0.14201	0.54701	0.27118	0.62435
C9orf37	5	0.085446	0.42384	0.4554	0.82426	0.67168	0.85581
C9orf40	5	0.14788	1.3108	0.20299	0.62818	0.18993	0.56846
C9orf41	5	-0.032318	-0.25141	0.92108	0.98305	0.8015	0.91584
C9orf43	5	0.092837	0.58087	0.41925	0.80773	0.56133	0.7975
C9orf47	5	0.18012	1.5555	0.12085	0.51576	0.11983	0.51473
C9orf50	5	0.27861	1.8635	0.014551	0.16193	0.062391	0.43472
C9orf57	5	0.14798	1.2546	0.20254	0.6276	0.20964	0.58207
C9orf62	5	0.077525	0.62304	0.49128	0.84175	0.53326	0.78159
C9orf64	5	0.085119	0.85427	0.45646	0.8247	0.39295	0.69951
C9orf66	5	0.073731	0.67574	0.51072	0.84922	0.49921	0.76356
C9orf69	5	0.10671	0.85871	0.35816	0.7681	0.3905	0.69757
C9orf72	5	0.1407	0.79088	0.22626	0.65701	0.42901	0.72209
C9orf78	5	-0.1382	-1.5986	0.48423	0.83865	0.1099	0.50289
C9orf84	5	0.13086	1.3677	0.26119	0.69366	0.1714	0.55385
C9orf85	5	-0.057874	-0.35709	0.79324	0.94737	0.72103	0.88115
C9orf89	5	0.075425	0.6775	0.50233	0.84533	0.49809	0.763
C9orf9	5	0.085853	0.9569	0.45374	0.824	0.33862	0.66358
C9orf91	5	0.23719	1.7522	0.039265	0.29545	0.079744	0.46542
C9orf92	5	0.11333	0.72562	0.33033	0.74602	0.46807	0.74444
C9orf96	5	0.060497	0.48803	0.57642	0.87321	0.62553	0.83136
CA1	5	0.056165	0.52496	0.60074	0.88201	0.59961	0.81697
CA10	5	-0.088599	-0.71868	0.66072	0.90224	0.47234	0.7475
CA11	5	0.050138	0.59807	0.6314	0.89198	0.54979	0.79017
CA12	5	0.0019531	0.018275	0.89826	0.97645	0.98542	0.99443
CA13	5	0.11242	1.3257	0.33494	0.75006	0.18493	0.56564
CA14	5	-0.0018753	-0.018197	0.92025	0.98303	0.98548	0.99443
CA2	5	0.1816	1.0851	0.11757	0.50975	0.27788	0.62751
CA3	5	0.010205	0.094026	0.85238	0.96522	0.92509	0.97271
CA4	4	0.10559	1.1531	0.41942	0.80779	0.24886	0.60954
CA5A	5	-0.31178	-2.0072	0.13862	0.54153	0.04473	0.38481
CA5B	5	0.2935	1.8471	0.0096079	0.1227	0.064735	0.43953
CA6	5	0.21719	1.8352	0.060258	0.37414	0.06647	0.4413
CA7	5	0.21242	1.3041	0.065589	0.39041	0.19219	0.56993
CA8	5	0.016019	0.14203	0.82145	0.95642	0.88706	0.95638
CA9	5	-0.093034	-0.75183	0.64212	0.897	0.45215	0.73677
CAAP1	5	0.10158	0.53042	0.37987	0.78174	0.59582	0.81522
CAB39	5	0.26734	1.2834	0.019105	0.19402	0.19935	0.57524
CAB39L	4	-0.11804	-1.0949	0.57303	0.87211	0.27357	0.62562
CABIN1	5	-0.37093	-2.2838	0.089026	0.45324	0.022382	0.25063
CABLES1	5	0.06137	0.64163	0.57209	0.87196	0.52111	0.7766
CABLES2	5	0.04718	0.38049	0.64701	0.89734	0.70359	0.87166
CABP1	9	-0.046008	-0.56285	0.86599	0.96829	0.57354	0.80329
CABP2	5	-0.18265	-1.4665	0.36071	0.76982	0.1425	0.53216
CABP4	4	-0.17886	-1.5544	0.40281	0.7973	0.12008	0.51477
CABP5	5	0.081739	1.056	0.4724	0.8332	0.29098	0.63375
CABP7	5	-0.3261	-2.2589	0.12512	0.52079	0.023888	0.2626
CABS1	5	0.0506	0.49178	0.62907	0.89111	0.62287	0.82958
CABYR	7	0.05252	0.45007	0.5431	0.86132	0.65266	0.84631
CACFD1	5	0.18094	1.5198	0.11918	0.51291	0.12856	0.52252
CACHD1	5	0.10173	1.0076	0.37915	0.78146	0.31363	0.6497
CACNA1A	5	0.17679	1.8518	0.12768	0.524	0.064059	0.43752
CACNA1B	5	0.17609	1.549	0.12907	0.52647	0.12138	0.51571
CACNA1C	5	0.17893	1.7926	0.12357	0.51937	0.073038	0.45538
CACNA1D	5	0.22059	1.9826	0.056592	0.36393	0.047415	0.39538
CACNA1E	5	0.16435	1.3411	0.1585	0.57192	0.17989	0.56284
CACNA1F	4	-0.038097	-0.22972	0.88182	0.97244	0.81831	0.92356
CACNA1G	5	-0.23311	-1.5666	0.25014	0.68141	0.11721	0.51275
CACNA1H	5	0.045173	0.42491	0.65861	0.90153	0.6709	0.85533
CACNA1I	5	-0.016548	-0.20035	0.99733	0.99911	0.8412	0.93473
CACNA1S	5	-0.086687	-0.70073	0.66922	0.90436	0.48347	0.75353
CACNA2D1	5	-0.028966	-0.24251	0.93797	0.98691	0.80839	0.91933
CACNA2D2	5	-0.19782	-1.7838	0.32428	0.74254	0.074459	0.45699
CACNA2D3	5	0.042871	0.39969	0.67272	0.90653	0.68939	0.86424
CACNA2D4	5	0.22176	1.5517	0.055426	0.36068	0.12074	0.51518
CACNB1	5	-0.16011	-1.2285	0.41797	0.8076	0.21927	0.58963
CACNB2	5	0.17305	1.2244	0.13623	0.53794	0.22079	0.59115
CACNB3	5	-0.38595	-2.5625	0.077918	0.42667	0.010392	0.14428
CACNB4	5	0.060926	0.52977	0.57414	0.87211	0.59627	0.81547
CACNG1	5	0.055879	0.57301	0.60197	0.8823	0.56664	0.80047
CACNG2	5	0.0092163	0.055863	0.8581	0.96617	0.95545	0.98408
CACNG3	5	0.10086	0.51043	0.38321	0.78427	0.60975	0.82321
CACNG4	5	0.018357	0.28343	0.80945	0.95262	0.77685	0.90655
CACNG5	5	-0.1006	-1.0144	0.60991	0.88493	0.31039	0.64745
CACNG6	5	-0.039897	-0.27941	0.88271	0.97256	0.77993	0.9079
CACNG7	5	0.15448	1.4198	0.18294	0.60311	0.15567	0.54247
CACNG8	5	0.092254	0.78434	0.42197	0.80905	0.43284	0.72423
CACTIN	5	-0.51483	-2.2067	0.025158	0.22937	0.027338	0.28804
CACUL1	5	0.18179	1.323	0.11691	0.5082	0.18582	0.56617
CACYBP	6	-0.34281	-2.158	0.081751	0.43667	0.030924	0.31265
CAD	5	-0.11121	-0.93729	0.57253	0.87211	0.34861	0.67098
CADM1	5	0.54672	1.0607	0	0	0.28881	0.63341
CADM2	5	0.01749	0.13661	0.81378	0.9536	0.89134	0.95818
CADM3	4	0.0035339	0.025024	0.92208	0.98342	0.98004	0.99283
CADM4	5	-0.012548	-0.099109	0.97562	0.99237	0.92105	0.97093
CADPS	5	0.073865	0.85103	0.51005	0.8489	0.39475	0.70114
CADPS2	5	-0.27899	-2.1022	0.17716	0.59637	0.035535	0.34285
CAGE1	5	0.25489	1.0304	0.025714	0.23281	0.30285	0.64192
CALB1	5	0.038793	0.43965	0.69377	0.91269	0.66019	0.84977
CALB2	5	0.16945	1.3774	0.14634	0.55439	0.1684	0.55221
CALCA	7	0.0017984	0.025192	0.84716	0.9638	0.9799	0.9928
CALCB	5	-0.033431	-0.30033	0.91597	0.98178	0.76393	0.90181
CALCOCO1	5	-0.11739	-0.83566	0.55287	0.86482	0.40335	0.70617
CALCOCO2	5	0.017151	0.14761	0.81556	0.95419	0.88265	0.95391
CALCR	5	-0.075831	-0.71175	0.71282	0.9181	0.47662	0.75
CALCRL	5	0.2835	1.6217	0.012885	0.1492	0.10486	0.49701
CALD1	5	0.10095	0.76316	0.38298	0.78426	0.44537	0.73182
CALHM1	5	0.1188	1.5377	0.30634	0.72596	0.12413	0.51875
CALHM2	5	-0.01012	-0.080252	0.96362	0.99042	0.93604	0.97696
CALHM3	5	0.12147	1.1678	0.2954	0.71685	0.2429	0.6052
CALM1	5	0.17964	1.472	0.12235	0.51815	0.14101	0.53216
CALM2	4	-0.091622	-0.49209	0.66694	0.90388	0.62266	0.82955
CALM3	5	0.051608	0.59396	0.62374	0.8893	0.55254	0.79174
CALML3	5	0.26884	1.925	0.017938	0.18478	0.054235	0.41611
CALML4	10	0.041243	0.4965	0.52355	0.85288	0.61954	0.82832
CALML5	5	0.27256	1.9908	0.016606	0.17599	0.046506	0.39203
CALML6	5	-0.13342	-0.83688	0.49933	0.84398	0.40266	0.7059
CALN1	5	-0.27472	-2.2056	0.18316	0.60318	0.027412	0.28814
CALR	5	0.18176	1.5592	0.11691	0.5082	0.11894	0.51369
CALR3	5	0.13402	1.0197	0.24969	0.68121	0.30785	0.64615
CALU	8	-0.021024	-0.16397	0.98123	0.99432	0.86976	0.94778
CALY	5	0.18646	1.3904	0.10891	0.49487	0.16442	0.54986
CAMK1	5	0.018421	0.10999	0.80873	0.95239	0.91242	0.96732
CAMK1D	5	-0.021288	-0.15035	0.97667	0.99283	0.88049	0.95282
CAMK1G	5	0.22702	1.6813	0.048984	0.33651	0.092702	0.48466
CAMK2A	5	0.18123	1.3533	0.11835	0.51066	0.17596	0.55711
CAMK2B	5	-0.08547	-0.9387	0.674	0.90683	0.34789	0.67073
CAMK2D	5	0.24165	1.7304	0.035488	0.27977	0.083564	0.47089
CAMK2G	5	0.058447	0.5272	0.5883	0.87799	0.59806	0.81618
CAMK2N1	5	0.14192	1.5169	0.22187	0.65171	0.12928	0.5231
CAMK2N2	5	0.092396	1.0677	0.42147	0.80905	0.28566	0.63178
CAMK4	5	-0.092443	-0.92755	0.64434	0.897	0.35364	0.67402
CAMKK1	5	0.1909	1.639	0.10052	0.47669	0.10122	0.49352
CAMKK2	5	-0.050273	-0.70615	0.83006	0.95857	0.4801	0.75167
CAMKMT	5	-0.063963	-0.69641	0.7648	0.93712	0.48617	0.75519
CAMKV	5	0.094334	1.1414	0.41208	0.8039	0.25369	0.61373
CAMLG	5	-0.09468	-0.96373	0.63496	0.8937	0.33518	0.66203
CAMP	5	0.12426	1.5852	0.28485	0.71078	0.11292	0.50604
CAMSAP1	5	0.047476	0.57938	0.64584	0.89703	0.56233	0.79832
CAMSAP2	5	-0.043499	-0.30953	0.86366	0.96789	0.75692	0.89784
CAMSAP3	5	-0.10901	-1.0118	0.58047	0.87596	0.31162	0.64808
CAMTA1	9	-0.049169	-0.5098	0.84472	0.96269	0.61019	0.82356
CAMTA2	5	-0.0045488	-0.029984	0.93458	0.98594	0.97608	0.99122
CAND1	5	-0.39793	-2.4331	0.070421	0.40602	0.014971	0.18669
CAND2	5	0.099115	0.85323	0.3907	0.78852	0.39353	0.70006
CANT1	5	-0.22323	-1.8457	0.27008	0.70127	0.064943	0.43953
CANX	4	-0.038213	-0.24998	0.8811	0.972	0.8026	0.91668
CAP1	5	-0.0065208	-0.057338	0.9458	0.9889	0.95428	0.98353
CAP2	5	-0.1176	-0.82504	0.55215	0.86437	0.40935	0.70994
CAPG	5	-0.11648	-1.0207	0.55581	0.86619	0.3074	0.64593
CAPN1	5	-0.076104	-0.58715	0.71165	0.9181	0.5571	0.79537
CAPN10	5	0.14609	1.1784	0.20849	0.63498	0.23866	0.6032
CAPN11	5	0.042574	0.48506	0.67405	0.90683	0.62763	0.8319
CAPN12	5	0.046215	0.49259	0.65289	0.89886	0.6223	0.82955
CAPN13	5	-0.011469	-0.10211	0.9699	0.99087	0.91867	0.96974
CAPN14	5	-0.073463	-0.55245	0.72337	0.92173	0.58064	0.80654
CAPN15	5	0.049177	0.45547	0.63657	0.89456	0.64877	0.84513
CAPN2	5	-0.019884	-0.1381	0.98417	0.99528	0.89016	0.95773
CAPN3	14	0.095972	1.5597	0.14234	0.54742	0.11884	0.51369
CAPN5	5	0.10845	1.1039	0.35138	0.7644	0.26963	0.62298
CAPN6	5	0.16713	1.6711	0.1525	0.56154	0.094704	0.48685
CAPN7	5	0.21089	1.5274	0.067644	0.39661	0.12667	0.52073
CAPN9	5	0.0060892	0.048915	0.8756	0.97004	0.96099	0.98586
CAPNS1	5	0.041931	0.35291	0.67677	0.90725	0.72416	0.88215
CAPNS2	5	0.38612	1.8801	0.00055537	0.015337	0.060091	0.43067
CAPRIN1	5	0.0046961	0.045252	0.88382	0.97256	0.96391	0.98698
CAPRIN2	5	-0.0064885	-0.070354	0.94563	0.9889	0.94391	0.97974
CAPS	5	-0.048773	-0.73135	0.83789	0.96126	0.46457	0.7426
CAPS2	5	-0.004045	-0.035058	0.93191	0.98594	0.97203	0.99035
CAPSL	5	0.31599	1.6721	0.0044985	0.071618	0.094513	0.48685
CAPZA1	5	-0.22058	-1.2116	0.27507	0.70405	0.22568	0.59546
CAPZA2	5	-0.24039	-1.4136	0.23731	0.66786	0.15747	0.54355
CAPZA3	5	0.17943	1.2933	0.12274	0.51815	0.1959	0.57255
CAPZB	5	-0.29185	-2.2852	0.16139	0.5761	0.022301	0.25019
CARD10	5	0.038604	0.38953	0.69466	0.91288	0.69688	0.86754
CARD11	5	-0.047071	-0.31344	0.84555	0.96275	0.75395	0.89703
CARD14	5	-0.041846	-0.60346	0.87215	0.96886	0.5462	0.78805
CARD16	7	0.10076	0.58373	0.29623	0.71761	0.5594	0.79646
CARD17	5	0.17047	0.88607	0.14334	0.54938	0.37558	0.68832
CARD18	4	0.15629	0.94052	0.23087	0.66116	0.34695	0.67036
CARD6	5	0.14674	1.1524	0.2066	0.63384	0.24914	0.60983
CARD8	10	0.0079014	0.086927	0.7583	0.93425	0.93073	0.97483
CARD9	5	0.057714	0.54802	0.59241	0.8782	0.58368	0.80857
CARF	5	0.092834	0.71032	0.41925	0.80773	0.47751	0.75047
CARHSP1	5	0.19409	1.5924	0.094635	0.46659	0.11128	0.50446
CARKD	5	0.016338	0.16728	0.81984	0.95597	0.86715	0.94631
CARM1	5	-0.14555	-1.11	0.46035	0.82679	0.26702	0.62188
CARNS1	5	-0.10111	-0.90403	0.60841	0.88447	0.36598	0.68301
CARS	5	-1.6113	-4.4244	0	0	9.6711e-06	0.00087428
CARS2	5	0.12153	0.65114	0.29535	0.71685	0.51495	0.77302
CARTPT	5	-0.18697	-1.7787	0.35077	0.76428	0.075281	0.45724
CASC1	5	0.075259	0.48459	0.50294	0.84556	0.62797	0.8319
CASC10	5	0.056928	0.48922	0.59647	0.87932	0.62469	0.83086
CASC3	5	-0.46715	-2.7936	0.040153	0.29851	0.0052121	0.085008
CASC4	5	-0.047956	-0.42815	0.84144	0.96181	0.66854	0.85451
CASC5	5	-0.55863	-2.1273	0.016217	0.17278	0.033392	0.33036
CASD1	4	-0.10359	-0.70887	0.62318	0.88879	0.4784	0.75088
CASK	5	0.17316	1.2978	0.13607	0.53794	0.19436	0.57153
CASKIN1	5	0.081898	1.1331	0.47151	0.83291	0.25717	0.61577
CASKIN2	5	-0.15897	-1.3289	0.4213	0.80905	0.18388	0.56528
CASP1	13	0.1125	1.3258	0.1068	0.49094	0.18491	0.56564
CASP10	5	-0.021916	-0.1769	0.97356	0.99168	0.85959	0.94335
CASP12	5	0.18366	0.98891	0.11302	0.49963	0.32271	0.65549
CASP14	5	-0.024335	-0.26696	0.9609	0.99042	0.7895	0.91187
CASP2	6	0.12409	1.9185	0.23664	0.66745	0.055053	0.41888
CASP3	5	0.077778	0.74281	0.48978	0.84175	0.45759	0.73963
CASP4	5	0.16632	1.4757	0.15428	0.5636	0.14002	0.53174
CASP5	7	0.16934	1.3668	0.08225	0.43724	0.17169	0.55385
CASP6	5	0.26175	1.1515	0.022159	0.21201	0.24953	0.60997
CASP7	5	0.21735	1.447	0.060202	0.37414	0.1479	0.53461
CASP8	5	0.32271	1.2038	0.0038876	0.064635	0.22867	0.59826
CASP9	8	0.21508	1.9419	0.017827	0.18406	0.052147	0.41146
CASQ1	5	0.0045315	0.045902	0.88448	0.97258	0.96339	0.98679
CASQ2	4	0.18574	1.3858	0.15228	0.56154	0.1658	0.55093
CASR	5	-0.03911	-0.36308	0.8867	0.97342	0.71654	0.87811
CASS4	5	0.18454	1.3157	0.11185	0.49802	0.18829	0.56752
CAST	4	-0.18255	-1.264	0.39426	0.79202	0.20624	0.57887
CASZ1	5	0.14125	1.4929	0.2242	0.65429	0.13545	0.52815
CAT	5	0.28214	1.818	0.013273	0.15233	0.069069	0.44752
CATSPER1	5	-0.1739	-1.4766	0.38198	0.78313	0.13978	0.53174
CATSPER2	5	0.13347	0.69041	0.25158	0.68274	0.48994	0.75763
CATSPER3	5	-0.14599	-0.88221	0.4584	0.82573	0.37766	0.68901
CATSPER4	5	0.05347	0.44982	0.61507	0.88635	0.65284	0.84631
CATSPERB	5	0.056226	0.44861	0.60052	0.8819	0.65372	0.84631
CATSPERD	5	0.045483	0.42959	0.65667	0.90094	0.6675	0.85371
CATSPERG	5	0.098197	1.15	0.39498	0.79234	0.25013	0.6106
CAV1	5	-0.1519	-1.5669	0.4418	0.81872	0.11715	0.51275
CAV2	6	0.0020773	0.018501	0.87299	0.96888	0.98524	0.99443
CAV3	5	0.13409	1.0667	0.24936	0.68072	0.28613	0.63227
CBFA2T2	5	0.16399	1.512	0.15972	0.57348	0.13053	0.52427
CBFA2T3	5	0.11473	0.95604	0.32467	0.74254	0.33905	0.66358
CBFB	5	0.087728	0.62576	0.44452	0.81921	0.53148	0.78057
CBL	5	0.21615	1.7293	0.061535	0.37842	0.083763	0.47089
CBLB	5	0.032864	0.47708	0.7272	0.92393	0.6333	0.83523
CBLC	5	-0.23735	-2.7085	0.24225	0.67325	0.0067597	0.10502
CBLL1	5	-0.25392	-1.6826	0.21515	0.64267	0.09246	0.48466
CBLN1	5	-0.0049658	-0.03985	0.93691	0.98649	0.96821	0.98876
CBLN2	5	0.13299	1.098	0.25347	0.68456	0.27219	0.62493
CBLN3	5	0.083693	0.91321	0.46323	0.82921	0.36113	0.67963
CBLN4	5	-0.0059067	-0.034118	0.94219	0.98829	0.97278	0.99075
CBR1	5	0.13748	1.1995	0.23764	0.66786	0.23034	0.59937
CBR3	5	0.15156	0.95306	0.1916	0.61526	0.34056	0.66451
CBR4	5	0.19319	1.8103	0.096357	0.47044	0.070249	0.44992
CBS	5	0.034945	0.30068	0.71526	0.91922	0.76366	0.90164
CBWD1	2	-0.65	-1.6132	0.080862	0.43515	0.1067	0.49954
CBWD2	1	0.097423	0.48765	0.76741	0.93815	0.6258	0.83141
CBWD3	2	-0.65449	-1.4824	0.079807	0.4314	0.13825	0.53042
CBX1	5	-0.11883	-1.0899	0.54821	0.86345	0.27575	0.6266
CBX2	5	0.062553	0.59063	0.56609	0.86964	0.55477	0.79363
CBX3	5	-0.19356	-1.4878	0.33505	0.75009	0.1368	0.52924
CBX4	5	-0.24141	-1.8141	0.23592	0.66667	0.069661	0.44861
CBX5	5	-0.017505	-0.1717	0.997	0.99905	0.86367	0.9447
CBX6	5	0.069928	0.62788	0.5286	0.85509	0.53008	0.77943
CBX7	5	0.036194	0.31025	0.7086	0.91781	0.75637	0.89783
CBX8	5	0.035261	0.48531	0.71337	0.9181	0.62745	0.8319
CBY1	4	-0.040659	-0.39394	0.87054	0.96886	0.69363	0.86655
CBY3	5	0.10056	1.069	0.38454	0.78495	0.28505	0.63133
CC2D1A	5	-0.048246	-0.39672	0.8395	0.9617	0.69158	0.86549
CC2D1B	5	0.0092653	0.10587	0.85771	0.96617	0.91569	0.96862
CC2D2A	13	-0.073809	-0.70729	0.67178	0.90586	0.47939	0.75122
CC2D2B	5	0.14375	0.66697	0.21604	0.64389	0.50479	0.76612
CCAR1	5	-0.41247	-2.6361	0.063312	0.3842	0.0083853	0.12427
CCAR2	5	0.06914	0.62208	0.53343	0.85728	0.53389	0.78177
CCBE1	3	0.29029	1.2626	0.044596	0.31852	0.20672	0.57953
CCBL1	5	0.044865	0.6217	0.6605	0.90208	0.53414	0.78177
CCBL2	5	0.022288	0.15132	0.78752	0.94577	0.87973	0.95235
CCDC101	5	-0.23744	-1.7858	0.2422	0.67325	0.074132	0.45671
CCDC102A	5	0.14361	1.2179	0.21648	0.64419	0.22328	0.59358
CCDC102B	5	0.20063	1.3757	0.082972	0.43825	0.16891	0.55221
CCDC103	5	0.080282	0.74105	0.4789	0.83644	0.45867	0.73996
CCDC104	5	-0.20256	-0.97081	0.31306	0.73212	0.33165	0.66006
CCDC105	5	0.032345	0.39996	0.73042	0.92493	0.68918	0.86424
CCDC106	5	0.0054862	0.066239	0.87926	0.97123	0.94719	0.98083
CCDC107	5	-0.32399	-1.2774	0.12674	0.52242	0.20145	0.57681
CCDC108	5	0.20104	1.6108	0.082306	0.43724	0.10723	0.50019
CCDC109B	5	0.27781	1.2671	0.014828	0.1639	0.20514	0.57773
CCDC11	5	0.21747	1.4423	0.059924	0.37414	0.14921	0.53571
CCDC110	5	0.19673	1.4359	0.089637	0.45439	0.15102	0.5387
CCDC112	5	0.072874	0.41135	0.51444	0.85013	0.68082	0.85991
CCDC113	5	-0.033889	-0.37388	0.91431	0.98105	0.7085	0.87414
CCDC114	5	-0.10927	-0.83231	0.57964	0.87551	0.40523	0.7078
CCDC115	5	-0.19089	-1.4855	0.34166	0.75667	0.13741	0.52951
CCDC116	5	-0.032954	-0.29398	0.91847	0.98273	0.76877	0.90407
CCDC117	5	0.087404	0.98935	0.44635	0.82013	0.32249	0.65549
CCDC12	5	-0.30232	-2.1038	0.14839	0.55725	0.035397	0.34211
CCDC120	5	-0.16937	-1.6717	0.39281	0.79037	0.094574	0.48685
CCDC121	5	-0.22314	-1.2514	0.27035	0.70148	0.21078	0.58325
CCDC122	4	0.17183	1.222	0.18594	0.60873	0.22171	0.59215
CCDC124	5	0.087941	0.75224	0.44352	0.81907	0.4519	0.73645
CCDC125	5	-0.071932	-0.47889	0.73031	0.92493	0.63202	0.83433
CCDC126	5	-0.041935	-0.32401	0.87154	0.96886	0.74593	0.89338
CCDC127	5	0.13048	1.2062	0.26269	0.69528	0.22774	0.59742
CCDC129	5	0.22608	1.57	0.050039	0.33999	0.11642	0.51138
CCDC13	5	0.14611	1.3198	0.20849	0.63498	0.18689	0.56684
CCDC130	5	-0.42601	-2.3428	0.056814	0.36419	0.019142	0.22528
CCDC132	4	-0.22138	-0.77246	0.31212	0.73196	0.43984	0.72896
CCDC134	5	0.10981	1.1955	0.34627	0.76095	0.2319	0.60055
CCDC135	5	0.08886	1.0693	0.43824	0.81738	0.28494	0.63133
CCDC136	5	-0.10727	-0.99071	0.58719	0.87799	0.32183	0.65522
CCDC137	5	-0.24777	-2.1084	0.22376	0.65411	0.034998	0.34008
CCDC138	5	-0.038565	-0.29358	0.88948	0.97445	0.76908	0.90421
CCDC14	5	-0.055661	-0.61709	0.80368	0.95066	0.53718	0.78294
CCDC140	5	-0.018076	-0.17556	0.99317	0.99799	0.86064	0.94367
CCDC142	5	-0.28151	-2.3866	0.174	0.59169	0.017004	0.2059
CCDC144A	4	-0.25588	-1.7985	0.25425	0.68557	0.072096	0.45327
CCDC144NL	4	-0.13366	-0.78278	0.52571	0.85396	0.43376	0.72465
CCDC146	5	-0.11521	-0.90585	0.56026	0.86801	0.36502	0.68234
CCDC147	5	0.091003	0.72253	0.42747	0.81232	0.46997	0.74544
CCDC148	5	-0.15385	-1.5741	0.43597	0.81694	0.11545	0.50958
CCDC149	5	0.19142	1.4917	0.0998	0.4759	0.13578	0.52846
CCDC15	5	0.20619	1.3647	0.074475	0.41776	0.17235	0.55413
CCDC150	5	0.09648	0.96556	0.40214	0.79694	0.33427	0.66119
CCDC151	5	0.089639	0.7823	0.43358	0.81518	0.43404	0.72465
CCDC152	5	0.053648	0.24843	0.61385	0.88615	0.8038	0.91707
CCDC153	5	0.15527	1.429	0.18088	0.60166	0.153	0.53987
CCDC155	5	0.090095	0.77468	0.43102	0.81303	0.43853	0.72804
CCDC157	5	-0.0066627	-0.074259	0.94657	0.9889	0.9408	0.97806
CCDC158	5	-0.069462	-0.47149	0.74064	0.92948	0.63729	0.83753
